Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
252.09,300.0,2.322895123818262,2.322895123818262
254.34,-300.0,4.182909866473469,4.182909866473469
254.34,-150.0,3.72639939881266,3.72639939881266
254.34,0.0,3.2125597096316545,3.2125597096316545
254.34,150.0,2.7666657644745847,2.7666657644745847
254.34,300.0,2.280429033803303,2.280429033803303
256.58,-300.0,4.13195055845552,4.13195055845552
256.58,-150.0,3.654207045787229,3.654207045787229
256.58,0.0,3.157353792612208,3.157353792612208
256.58,150.0,2.7157064564566333,2.7157064564566333
256.58,300.0,2.22097650778236,2.22097650778236
258.81,-300.0,4.110717513448039,4.110717513448039
258.81,-150.0,3.6478371322849856,3.6478371322849856
258.81,0.0,3.1467372701084684,3.1467372701084684
258.81,150.0,2.7178297609573816,2.7178297609573816
258.81,300.0,2.2400862482890918,2.2400862482890918
261.03,-300.0,4.195649693477957,4.195649693477957
261.03,-150.0,3.7179061808096683,3.7179061808096683
261.03,0.0,3.1807101421204353,3.1807101421204353
261.03,150.0,2.7454327194671047,2.7454327194671047
261.03,300.0,2.274059120301059,2.274059120301059
263.23,-300.0,4.087361163939812,4.087361163939812
263.23,-150.0,3.6117409557722704,3.6117409557722704
263.23,0.0,3.1148877025972492,3.1148877025972492
263.23,150.0,2.671117061940927,2.671117061940927
263.23,300.0,2.2103599852786204,2.2103599852786204
265.43,-300.0,4.008798897412138,4.008798897412138
265.43,-150.0,3.5098223397363686,3.5098223397363686
265.43,0.0,3.0405720450710705,3.0405720450710705
265.43,150.0,2.6137878404207315,2.6137878404207315
265.43,300.0,2.1785104177674013,2.1785104177674013
267.62,-300.0,4.019415419915878,4.019415419915878
267.62,-150.0,3.5544117342520756,3.5544117342520756
267.62,0.0,3.0469419585733144,3.0469419585733144
267.62,150.0,2.6328975809274633,2.6328975809274633
267.62,300.0,2.182757026768897,2.182757026768897
269.8,-300.0,3.976949329900918,3.976949329900918
269.8,-150.0,3.5055757307348725,3.5055757307348725
269.8,0.0,3.010845782060599,3.010845782060599
269.8,150.0,2.601048013416244,2.601048013416244
269.8,300.0,2.1572773727599217,2.1572773727599217
271.97,-300.0,3.936606544386707,3.936606544386707
271.97,-150.0,3.477972772225149,3.477972772225149
271.97,0.0,2.974749605547884,2.974749605547884
271.97,150.0,2.558581923401285,2.558581923401285
271.97,300.0,2.140290936753938,2.140290936753938
274.13,-300.0,3.877154018365765,3.877154018365765
274.13,-150.0,3.4121503327019624,3.4121503327019624
274.13,0.0,2.928036906531429,2.928036906531429
274.13,150.0,2.5246090513893176,2.5246090513893176
274.13,300.0,2.1233045007479543,2.1233045007479543
276.28,-300.0,3.830441319349309,3.830441319349309
276.28,-150.0,3.376054156189247,3.376054156189247
276.28,0.0,2.9174203840276887,2.9174203840276887
276.28,150.0,2.4970060928795945,2.4970060928795945
276.28,300.0,2.0893316287359873,2.0893316287359873
278.42,-300.0,3.804961665340334,3.804961665340334
278.42,-150.0,3.376054156189247,3.376054156189247
278.42,0.0,2.891940730018714,2.891940730018714
278.42,150.0,2.471526438870619,2.471526438870619
278.42,300.0,2.059605365725516,2.059605365725516
280.56,-300.0,3.764618879826123,3.764618879826123
280.56,-150.0,3.3229715436705485,3.3229715436705485
280.56,0.0,2.843104726501511,2.843104726501511
280.56,150.0,2.4545400028646354,2.4545400028646354
280.56,300.0,2.046865538721028,2.046865538721028
282.69,-300.0,3.760372270824627,3.760372270824627
282.69,-150.0,3.2868753671578332,3.2868753671578332
282.69,0.0,2.8133784634910395,2.8133784634910395
282.69,150.0,2.431183653356408,2.431183653356408
282.69,300.0,2.0086460577075647,2.0086460577075647
284.81,-300.0,3.7348926168156513,3.7348926168156513
284.81,-150.0,3.293245280660077,3.293245280660077
284.81,0.0,2.8409814220007625,2.8409814220007625
284.81,150.0,2.41844382635192,2.41844382635192
284.81,300.0,2.042618929719532,2.042618929719532
286.93,-300.0,3.7306460078141557,3.7306460078141557
286.93,-150.0,3.3102317166660606,3.3102317166660606
286.93,0.0,2.8112551589902917,2.8112551589902917
286.93,150.0,2.4290603488556597,2.4290603488556597
286.93,300.0,1.998029535203825,1.998029535203825
289.04,-300.0,3.6690701772924648,3.6690701772924648
289.04,-150.0,3.2465325816436224,3.2465325816436224
289.04,0.0,2.783652200480568,2.783652200480568
