BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,33,64,219.0,1,-0.8999999761581421,1.0,3459.550301170349,0.0028178569056140097,0.0028178569056140097,1,3459.550301170349,9.266050338745115,9.266050338745115,center,467,14.260600090026855
1,1,33,64,219.0,2,-56.29999923706055,3.0,3459.550301170349,0.0028178569056140097,0.0028178569056140097,1,3459.550301170349,9.266050338745115,9.266050338745115,x_min,7,13.370599746704102
1,1,33,64,219.0,3,56.29999923706055,0.0,3459.550301170349,0.0028178569056140097,0.0028178569056140097,1,3459.550301170349,9.266050338745115,9.266050338745115,x_max,935,24.13479995727539
1,1,33,64,219.0,4,4.300000190734863,-56.0,3459.550301170349,0.0028178569056140097,0.0028178569056140097,1,3459.550301170349,9.266050338745115,9.266050338745115,y_min,508,24.315900802612305
1,1,33,64,219.0,5,-2.5999999046325684,58.0,3459.550301170349,0.0028178569056140097,0.0028178569056140097,1,3459.550301170349,9.266050338745115,9.266050338745115,y_max,459,22.931900024414062
1,1,34,66,221.48,1,0.8999999761581421,0.0,3639.428981590271,0.0029643708561764687,0.0029643708561764687,1,3639.428981590271,9.162650108337402,9.162650108337402,center,521,14.798299789428713
1,1,34,66,221.48,2,-56.29999923706055,3.0,3639.428981590271,0.0029643708561764687,0.0029643708561764687,1,3639.428981590271,9.162650108337402,9.162650108337402,x_min,7,26.690900802612305
1,1,34,66,221.48,3,56.29999923706055,4.0,3639.428981590271,0.0029643708561764687,0.0029643708561764687,1,3639.428981590271,9.162650108337402,9.162650108337402,x_max,998,24.38319969177246
1,1,34,66,221.48,4,-13.0,-56.0,3639.428981590271,0.0029643708561764687,0.0029643708561764687,1,3639.428981590271,9.162650108337402,9.162650108337402,y_min,380,24.530500411987305
1,1,34,66,221.48,5,45.900001525878906,58.0,3639.428981590271,0.0029643708561764687,0.0029643708561764687,1,3639.428981590271,9.162650108337402,9.162650108337402,y_max,926,21.25950050354004
1,1,35,68,223.94,1,0.8999999761581421,0.0,3860.0238372802733,0.0031440487574455186,0.0031440487574455186,1,3860.0238372802733,9.061599731445312,9.061599731445312,center,506,20.767499923706055
1,1,35,68,223.94,2,-56.29999923706055,3.0,3860.0238372802733,0.0031440487574455186,0.0031440487574455186,1,3860.0238372802733,9.061599731445312,9.061599731445312,x_min,8,14.046600341796877
1,1,35,68,223.94,3,56.29999923706055,-2.0,3860.0238372802733,0.0031440487574455186,0.0031440487574455186,1,3860.0238372802733,9.061599731445312,9.061599731445312,x_max,978,25.09670066833496
